Place,City,Raw_Review,Rating,new_lat_long
All Saints Church,Mumbai,"['school', 'century', 'worth', 'likely', 'small', 'intimate', 'british', 'atmosphere', 'architecture', 'next', 'grandma', 'late', 'malabar', 'xmas', 'cathedral', 'indian', 'services', 'accoustics', 'took', 'kindergarten', 'great', 'visit', 'carol', 'right', 'beautiful', 'church', 'often', 'lovely']",5,"[18.9558307, 72.80346825000001]"
Ambedkar Stadium,New Delhi,"['provides', 'well', 'pitch', 'games', 'maintained', 'hosted', 'footballer', 'place', 'good', 'football', 'ground', 'play', 'indian', 'great', 'every', 'experience', 'one', 'greatest', 'turf', 'best', 'city']",5,"[28.639035, 77.24226589999999]"
Andharban,Mumbai,"['walk', 'local', 'rain', 'take', 'monsoon', 'views', 'streams', 'guide', 'season', 'waterfalls', 'greenery', 'place', 'created', 'visiting', 'water', 'rains', 'visit', 'jungle', 'anyone', 'difficult', 'enjoy', 'long']",4,"[19.0759837, 72.8776559]"
Andheri Market,Mumbai,"['etc', 'area', 'shopping', 'chaotic', 'man', 'available', 'household', 'regular', 'shops', 'much', 'nice', 'crowd', 'go', 'andheri', 'spices', 'choose', 'footwear', 'options', 'living', 'place', 'crowded', 'good', 'market', 'selling', 'large', 'easily', 'utensils', 'went', 'clothing', 'lost', 'one', 'stuff', 'daily', 'get', 'lot', 'many', 'shall', 'general', 'whole', 'common', 'variety']",3,"[19.1232862, 72.8459119471157]"
Ansal Plaza,New Delhi,"['thriving', 'food', 'charm', 'favourite', 'collection', 'spacious', 'shops', 'recently', 'court', 'building', 'night', 'decathlon', 'open', 'footfall', 'also', 'passed', 'thought', 'ask', 'surprised', 'shop', 'lost', 'cleaned', 'gud', 'closed', 'gloomy', 'awsum', 'architecture', 'rundown', 'sure', 'proudly', 'strange', 'back', 'less', 'restaurants', 'fantastic', 'lighthouse', 'fun', 'good', 'went', 'amphi', 'one', 'irked', 'years', 'ghosty', 'seating', 'empty', 'brands', 'happening', 'cant', 'plaza', 'area', 'lunch', 'like', 'go', 'stands', 'see', 'ansal', 'friend', 'theatre', 'quite', 'movie', 'first', 'sound', 'mall', 'presence', 'adviceable', 'noon', 'shopping', 'amazing', 'awed', 'likely', 'available', 'delhi', 'nice', 'condition', 'ambience', 'called', 'pretty', 'multiplex', 'eat', 'descent', 'breakfast', 'parking', 'mcdonalds', 'everything', 'place', 'visiting', 'ghost', 'big', 'n', 'great', 'anything', 'biggest', 'fault']",4.428571429,"[28.562717499999998, 77.22456837140118]"
Antilia,Mumbai,"['design', 'mumbai', 'two', 'mukesh', 'antilia', 'high', 'storeyed', 'ceilings', 'building', 'extra', 'floor', 'situated', 'architectural', 'replete', 'large', 'road', 'world', 'expensive', 'height', 'every', 'average', 'owner', 'altamount', 'ambani', 'comes', 'floors']",3,"[18.9680551, 72.80957660046926]"
Art Spice,New Delhi,"['support', 'setup', 'complete', 'well', 'programme', 'pretty', 'artist', 'offered', 'convenience', 'organized']",4,"[19.8528596,72.212983]"
Art of Living Center,New Delhi,"['need', 'sudarshan', 'calm', 'change', 'effective', 'around', 'life', 'relationship', 'find', 'see', 'peaceful', 'suryanamaskar', 'good', 'kriya', 'regularly', 'people', 'daily', 'methods', 'maintaining', 'enjoy']",5,"[28.6139391,77.2090212]"
Ashokan Pillar,New Delhi,"['memorial', 'relocated', 'meerut', 'hospital', 'rattan', 'somewhere', 'former', 'gautam', 'near', 'governor', 'location', 'back', 'original', 'service', 'king', 'ashok', 'kohli', 'hindurao', 'installed', 'mizoram', 'bara', 'buddha', 'amolak', 'years', 'commemorate']",4,"[28.5744148,77.1957803]"
Atomic Energy Junior College,Mumbai,"['college', 'greenery', 'around', 'one', 'lot', 'good', 'junior', 'infrastructure', 'landscaping', 'nice']",5,"[19.03719285, 72.91877963232568]"
